ファイル名,ID,名前,クラス,種類,コスト,攻撃,体力,効果,フレーバー,プロンプト
"M005.png","M005","氷の守護者","魔導","フォロワー",4,2,5,"守護","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「氷の守護者」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 守護。"
"M014.png","M014","炎の嵐","魔導","スペル",4,,,"相手のフォロワー全てに2ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「炎の嵐」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 相手のフォロワー全てに2ダメージ。。"
"M015.png","M015","知識の探求","魔導","スペル",4,,,"カードを3枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「知識の探求」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: カードを3枚引く。。"
"M006.png","M006","炎の術師","魔導","フォロワー",5,4,4,"ファンファーレ: 相手のリーダーに2ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「炎の術師」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: ファンファーレ: 相手のリーダーに2ダメージ。。"
"M010.png","M010","賢者の弟子","魔導","フォロワー",5,3,4,"ファンファーレ: カードを2枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「賢者の弟子」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: ファンファーレ: カードを2枚引く。。"
"M018.png","M018","破壊の光","魔導","スペル",5,,,"相手のフォロワー1体を破壊する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「破壊の光」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 相手のフォロワー1体を破壊する。。"
"M007.png","M007","雷帝","魔導","フォロワー",6,4,5,"ファンファーレ: ランダムな相手のフォロワー1体に3ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「雷帝」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: ファンファーレ: ランダムな相手のフォロワー1体に3ダメージ。。"
"M016.png","M016","隕石","魔導","スペル",6,,,"相手のフォロワー全てに4ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「隕石」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 相手のフォロワー全てに4ダメージ。。"
"M008.png","M008","火炎の竜","魔導","フォロワー",7,5,5,"疾走","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「火炎の竜」。キャラクターの上半身〜全身のポートレート。世界観: 魔法学院の魔導師。紫のローブ、光る魔法陣、炎と氷の魔法、神秘的な雰囲気。カード効果のヒント: 疾走。"
"U001.png","U001","骸骨兵","死霊術師","フォロワー",1,1,1,"ラストワード: 骸骨(1/1)を1体出す。","何度倒しても、骨は立ち上がる。","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「骸骨兵」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ラストワード: 骸骨(1/1)を1体出す。。フレーバー: 何度倒しても、骨は立ち上がる。。"
"U013.png","U013","悪霊","死霊術師","フォロワー",1,2,1,"ラストワード: ランダムな相手のフォロワー1体に1ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「悪霊」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ラストワード: ランダムな相手のフォロワー1体に1ダメージ。。"
"U016.png","U016","骸骨召喚","死霊術師","スペル",1,,,"骸骨(1/1)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「骸骨召喚」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 骸骨(1/1)を2体出す。。"
"U002.png","U002","腐肉喰らい","死霊術師","フォロワー",2,1,3,"ラストワード: カードを1枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「腐肉喰らい」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ラストワード: カードを1枚引く。。"
"U003.png","U003","怨念の亡者","死霊術師","フォロワー",2,2,2,"ラストワード: 相手のリーダーに1ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「怨念の亡者」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ラストワード: 相手のリーダーに1ダメージ。。"
"U008.png","U008","血の契約","死霊術師","スペル",2,,,"自分のリーダーに2ダメージ。カードを2枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「血の契約」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 自分のリーダーに2ダメージ。カードを2枚引く。。"
"U004.png","U004","死霊の蝙蝠","死霊術師","フォロワー",3,2,2,"ドレイン","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「死霊の蝙蝠」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ドレイン。"
"U005.png","U005","屍人形師","死霊術師","フォロワー",3,2,3,"ファンファーレ: 骸骨(1/1)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「屍人形師」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ファンファーレ: 骸骨(1/1)を2体出す。。"
"U014.png","U014","魂喰らい","死霊術師","フォロワー",3,3,3,"ファンファーレ: 自分の他のフォロワー1体を破壊し、カードを2枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「魂喰らい」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ファンファーレ: 自分の他のフォロワー1体を破壊し、カードを2枚引く。。"
"U017.png","U017","爆裂する屍","死霊術師","スペル",3,,,"自分のフォロワー1体を破壊し、相手のフォロワー全てに2ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「爆裂する屍」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 自分のフォロワー1体を破壊し、相手のフォロワー全てに2ダメージ。。"
"U018.png","U018","魂の吸収","死霊術師","スペル",3,,,"相手のフォロワー1体に2ダメージ。自分のリーダーを2回復。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「魂の吸収」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 相手のフォロワー1体に2ダメージ。自分のリーダーを2回復。。"
"U020.png","U020","呪いの祭壇","死霊術師","アミュレット",3,,,"カウントダウン 3 ラストワード: 相手のリーダーに3ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「呪いの祭壇」。人物ではなく、魔法の道具・祭壇・建造物を描く。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: カウントダウン 3 ラストワード: 相手のリーダーに3ダメージ。。"
"U006.png","U006","骨の巨人","死霊術師","フォロワー",4,3,5,"ラストワード: 骸骨(1/1)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「骨の巨人」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ラストワード: 骸骨(1/1)を2体出す。。"
"U007.png","U007","死神の使い","死霊術師","フォロワー",4,3,2,"必殺","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「死神の使い」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 必殺。"
"U015.png","U015","冥府の番犬","死霊術師","フォロワー",4,4,3,"突進","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「冥府の番犬」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 突進。"
"U019.png","U019","死の宣告","死霊術師","スペル",4,,,"相手のフォロワー1体を破壊する。自分のリーダーに2ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「死の宣告」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 相手のフォロワー1体を破壊する。自分のリーダーに2ダメージ。。"
"U009.png","U009","屍術師","死霊術師","フォロワー",5,3,3,"ファンファーレ: 自分の他のフォロワー1体を破壊し、自身を+3/+3する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「屍術師」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ファンファーレ: 自分の他のフォロワー1体を破壊し、自身を+3/+3する。。"
"U010.png","U010","亡霊騎士","死霊術師","フォロワー",5,4,2,"疾走 ラストワード: 骸骨(1/1)を1体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「亡霊騎士」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 疾走 ラストワード: 骸骨(1/1)を1体出す。。"
"U012.png","U012","不死の騎士","死霊術師","フォロワー",6,4,5,"守護 ラストワード: ゾンビ(2/2)を1体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「不死の騎士」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: 守護 ラストワード: ゾンビ(2/2)を1体出す。。"
"U011.png","U011","死者の王","死霊術師","フォロワー",7,5,5,"ファンファーレ: ゾンビ(2/2)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「死者の王」。キャラクターの上半身〜全身のポートレート。世界観: 死霊術師と不死者。骨と墓石、暗い緑と黒、不気味な光、荒涼とした雰囲気。カード効果のヒント: ファンファーレ: ゾンビ(2/2)を2体出す。。"
"D001.png","D001","森の妖精","森の民","フォロワー",1,1,1,"ファンファーレ: 自分のリーダーを2回復。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「森の妖精」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: ファンファーレ: 自分のリーダーを2回復。。"
"D017.png","D017","成長","森の民","スペル",1,,,"自分のフォロワー1体を+2/+2する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「成長」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: 自分のフォロワー1体を+2/+2する。。"
"D002.png","D002","蔦の番人","森の民","フォロワー",2,1,4,"守護","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「蔦の番人」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: 守護。"
"D003.png","D003","森の案内人","森の民","フォロワー",2,1,2,"ファンファーレ: 最大PPを+1する。","森は、進む者にだけ道を開く。","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「森の案内人」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: ファンファーレ: 最大PPを+1する。。フレーバー: 森は、進む者にだけ道を開く。。"
"D013.png","D013","種を撒く者","森の民","フォロワー",2,2,2,"ラストワード: 妖精(1/1)を1体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「種を撒く者」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: ラストワード: 妖精(1/1)を1体出す。。"
"D015.png","D015","自然の恵み","森の民","スペル",2,,,"最大PPを+1する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「自然の恵み」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: 最大PPを+1する。。"
"D004.png","D004","樹皮の癒し手","森の民","フォロワー",3,2,3,"ファンファーレ: 自分の他のフォロワー1体を+0/+3する。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「樹皮の癒し手」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: ファンファーレ: 自分の他のフォロワー1体を+0/+3する。。"
"D005.png","D005","猪突する猪","森の民","フォロワー",3,3,2,"突進","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「猪突する猪」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: 突進。"
"D014.png","D014","蜂の群れ","森の民","フォロワー",3,2,2,"ファンファーレ: 妖精(1/1)を2体出す。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「蜂の群れ」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: ファンファーレ: 妖精(1/1)を2体出す。。"
"D016.png","D016","根の締めつけ","森の民","スペル",3,,,"相手のフォロワー1体に4ダメージ。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「根の締めつけ」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: 相手のフォロワー1体に4ダメージ。。"
"D018.png","D018","生命の息吹","森の民","スペル",3,,,"自分のリーダーを6回復。カードを1枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「生命の息吹」。キャラクターではなく魔法・現象そのものを描く(効果の一瞬を切り取る)。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: 自分のリーダーを6回復。カードを1枚引く。。"
"D020.png","D020","豊穣の祭壇","森の民","アミュレット",3,,,"カウントダウン 3 ラストワード: 最大PPを+1する。カードを2枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「豊穣の祭壇」。人物ではなく、魔法の道具・祭壇・建造物を描く。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: カウントダウン 3 ラストワード: 最大PPを+1する。カードを2枚引く。。"
"D006.png","D006","古木の精","森の民","フォロワー",4,2,6,"守護","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「古木の精」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: 守護。"
"D007.png","D007","森の狩人","森の民","フォロワー",4,3,4,"ファンファーレ: カードを1枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「森の狩人」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: ファンファーレ: カードを1枚引く。。"
"D008.png","D008","大樹の守り手","森の民","フォロワー",5,4,6,"守護 ファンファーレ: 自分のリーダーを3回復。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「大樹の守り手」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: 守護 ファンファーレ: 自分のリーダーを3回復。。"
"D009.png","D009","森の賢者","森の民","フォロワー",5,3,5,"ファンファーレ: 最大PPを+1する。カードを1枚引く。","","ファンタジーカードゲームのカードイラスト。デジタルペインティング、縦長 2:3。被写体(顔・主役)は画像の上半分〜中央に大きく配置し、下 1/3 は主役を置かず背景のみにする(カード上ではその部分にテキストが重なる)。ドラマチックな光。文字・枠・ロゴ・UI は描かない。題材:「森の賢者」。キャラクターの上半身〜全身のポートレート。世界観: 森の民と自然の精霊。深い緑、木漏れ日、苔と花、生命力に満ちた雰囲気。カード効果のヒント: ファンファーレ: 最大PPを+1する。カードを1枚引く。。"
